Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Season,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Shelled/Unshelled,Purchase Lot Size,Section or Sale,Import/Export,Supply Tone,Demand Tone,Basis of Sale,Market Tone,Price Comment,Comments,Rpt City
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/15/15,18.45,24.55,21.55,24.05,2014,bchd 14s,,,,,,,,,,,,,"BUNCHED FAIRLY GOOD AT SLIGHTLY LOWER PRICES, OTHERS FAIRLY GOOD.","Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","BUNCHED SLIGHTLY LOWER, OTHERS ABOUT STEADY.",occasional higher,Extra services included. Wide range in price and quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/16/15,,,,,2014,bchd 18s,,,,,,,,,,,,,"CROWN CUT FAIRLY GOOD, BUNCHED MODERATE.","Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,supplies in too few hands to establish a market,Extra services included. Wide range in price and quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/16/15,,,,,2014,bchd 14s,,,,,,,,,,,,,"CROWN CUT FAIRLY GOOD, BUNCHED MODERATE.","Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,supplies in too few hands to establish a market,Extra services included. Wide range in price and quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/20/15,,,,,2014,bchd 18s,,,,,,,,,,,,,MODERATE.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,supplies in too few hands to establish a market,Extra services included. Wide range in price and quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/20/15,,,,,2014,bchd 14s,,,,,,,,,,,,,MODERATE.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,supplies in too few hands to establish a market,Extra services included. Wide range in price and quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/21/15,12.85,16.95,12.85,15,2014,bchd 18s,,,,,,,,,,,,,MODERATE.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",LOWER.,one label 22.05-23.05,Extra services included. Wide range in quality.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/21/15,12.35,16.45,12.35,14.5,2014,bchd 14s,,,,,,,,,,,,,MODERATE.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",LOWER.,,Extra services included. Wide range in quality.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/22/15,10,14.45,10.35,12,2014,bchd 14s,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","CROWNS MUCH LOWER, OTHERS LOWER.",one label 18.05,Extra services included. Wide range in quality.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/22/15,10.5,14.95,10.55,12.5,2014,bchd 18s,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","CROWNS MUCH LOWER, OTHERS LOWER.",one label 18.55,Extra services included. Wide range in quality.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/23/15,10,12.5,10.35,11.5,2014,bchd 14s,,,,,,,,,,,,,MODERATE.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",SLIGHTLY LOWER.,one label 18.05 occasional lower,Extra services included. Wide range in quality.,"PHOENIX, AZ"
